# hgIntegrator: database=hg38 region=chr18:1-80373285 Sun Jun 22 08:06:51 2025
#cpgIslandExt.chrom	cpgIslandExt.chromStart	cpgIslandExt.chromEnd	cpgIslandExt.name	cpgIslandExt.length	cpgIslandExt.cpgNum	cpgIslandExt.gcNum	cpgIslandExt.perCpg	cpgIslandExt.perGc	cpgIslandExt.obsExp
chr18	3448008	3448533	CpG: 46	525	46	322	17.5	61.3	0.93
chr18	3449271	3452362	CpG: 243	3091	243	1852	15.7	59.9	0.88
chr18	3498943	3499360	CpG: 52	417	52	305	24.9	73.1	0.99
chr18	3729123	3729406	CpG: 29	283	29	186	20.5	65.7	0.95
chr18	3771354	3771571	CpG: 28	217	28	161	25.8	74.2	0.97
chr18	3879202	3880087	CpG: 73	885	73	601	16.5	67.9	0.73
chr18	4453969	4455647	CpG: 169	1678	169	1114	20.1	66.4	0.91
chr18	5196244	5197390	CpG: 80	1146	80	675	14	58.9	0.81
chr18	5237724	5238675	CpG: 100	951	100	631	21	66.4	0.96
chr18	5294738	5294942	CpG: 17	204	17	129	16.7	63.2	0.83
chr18	5295432	5297100	CpG: 182	1668	182	1106	21.8	66.3	0.99
chr18	5542848	5544242	CpG: 129	1394	129	859	18.5	61.6	0.98
chr18	5628325	5630786	CpG: 248	2461	248	1708	20.2	69.4	0.84
chr18	5890293	5891518	CpG: 131	1225	131	806	21.4	65.8	0.99
chr18	5894867	5896250	CpG: 132	1383	132	838	19.1	60.6	1.04
chr18	6284375	6284616	CpG: 22	241	22	166	18.3	68.9	0.77
chr18	6413960	6415120	CpG: 143	1160	143	848	24.7	73.1	0.92
chr18	6729603	6730038	CpG: 63	435	63	334	29	76.8	0.98
chr18	6920592	6920875	CpG: 27	283	27	203	19.1	71.7	0.75
chr18	6929451	6930089	CpG: 42	638	42	429	13.2	67.2	0.66
chr18	7011268	7011489	CpG: 17	221	17	139	15.4	62.9	0.78
chr18	7116853	7118242	CpG: 148	1389	148	964	21.3	69.4	0.9
chr18	7566559	7568832	CpG: 285	2273	285	1657	25.1	72.9	0.94
chr18	8367275	8367601	CpG: 38	326	38	225	23.3	69	0.98
chr18	8608765	8610372	CpG: 177	1607	177	1107	22	68.9	0.94
chr18	8659445	8659674	CpG: 17	229	17	148	14.8	64.6	0.72
chr18	8659793	8660167	CpG: 27	374	27	236	14.4	63.1	0.73
chr18	8704723	8707559	CpG: 302	2836	302	1906	21.3	67.2	0.94
chr18	8784149	8784585	CpG: 35	436	35	289	16.1	66.3	0.74
chr18	8785435	8785646	CpG: 18	211	18	137	17.1	64.9	0.81
chr18	9102418	9102975	CpG: 58	557	58	406	20.8	72.9	0.79
chr18	9136090	9137596	CpG: 165	1506	165	964	21.9	64	1.07
chr18	9333898	9335361	CpG: 134	1463	134	894	18.3	61.1	1
chr18	9474806	9475980	CpG: 105	1174	105	726	17.9	61.8	0.94
chr18	9478454	9478922	CpG: 39	468	39	298	16.7	63.7	0.82
chr18	9613737	9615305	CpG: 173	1568	173	1047	22.1	66.8	0.99
chr18	9707755	9709314	CpG: 151	1559	151	1038	19.4	66.6	0.88
chr18	9913467	9915167	CpG: 175	1700	175	1127	20.6	66.3	0.94
chr18	10032461	10032910	CpG: 39	449	39	325	17.4	72.4	0.67
chr18	10131856	10132138	CpG: 31	282	31	210	22	74.5	0.81
chr18	10414357	10414595	CpG: 19	238	19	158	16	66.4	0.76
chr18	10454085	10455271	CpG: 115	1186	115	803	19.4	67.7	0.85
chr18	10471659	10471870	CpG: 17	211	17	142	16.1	67.3	0.71
chr18	10525844	10526436	CpG: 60	592	60	417	20.3	70.4	0.82
chr18	10589152	10589389	CpG: 28	237	28	180	23.6	75.9	0.83
chr18	10607537	10607783	CpG: 29	246	29	184	23.6	74.8	1
chr18	10726249	10726669	CpG: 52	420	52	302	24.8	71.9	0.96
chr18	11148308	11149937	CpG: 169	1629	169	1165	20.7	71.5	0.82
chr18	11689062	11690109	CpG: 127	1047	127	713	24.3	68.1	1.05
chr18	11750954	11752757	CpG: 165	1803	165	1195	18.3	66.3	0.83
chr18	11821869	11822208	CpG: 34	339	34	236	20.1	69.6	0.83
chr18	11851210	11852123	CpG: 72	913	72	540	15.8	59.1	0.9
chr18	11908223	11909083	CpG: 109	860	109	642	25.3	74.7	0.91
chr18	11947828	11948156	CpG: 26	328	26	235	15.9	71.6	0.64
chr18	11980484	11982143	CpG: 159	1659	159	1057	19.2	63.7	0.97
chr18	12038414	12039360	CpG: 92	946	92	660	19.5	69.8	0.8
chr18	12067176	12067433	CpG: 33	257	33	186	25.7	72.4	0.98
chr18	12093608	12093843	CpG: 24	235	24	137	20.4	58.3	1.22
chr18	12254148	12255090	CpG: 90	942	90	665	19.1	70.6	0.77
chr18	12271658	12271921	CpG: 28	263	28	189	21.3	71.9	0.83
chr18	12287272	12287563	CpG: 29	291	29	204	19.9	70.1	0.81
chr18	12307555	12309044	CpG: 163	1489	163	998	21.9	67	0.97
chr18	12325041	12326050	CpG: 79	1009	79	639	15.7	63.3	0.78
chr18	12376539	12377738	CpG: 126	1199	126	815	21	68	0.93
chr18	12407716	12408243	CpG: 75	527	75	399	28.5	75.7	1
chr18	12420136	12420864	CpG: 70	728	70	498	19.2	68.4	0.83
chr18	12431200	12431660	CpG: 34	460	34	305	14.8	66.3	0.68
chr18	12432891	12433246	CpG: 31	355	31	243	17.5	68.5	0.75
chr18	12433996	12434487	CpG: 45	491	45	344	18.3	70.1	0.75
chr18	12657045	12658728	CpG: 198	1683	198	1129	23.5	67.1	1.04
chr18	12702185	12703243	CpG: 110	1058	110	724	20.8	68.4	0.9
chr18	12777497	12778114	CpG: 56	617	56	431	18.2	69.9	0.74
chr18	12883286	12884579	CpG: 128	1293	128	768	19.8	59.4	1.12
chr18	12896622	12897103	CpG: 50	481	50	326	20.8	67.8	0.91
chr18	12911025	12912705	CpG: 144	1680	144	1136	17.1	67.6	0.75
chr18	12947392	12948655	CpG: 126	1263	126	859	20	68	0.88
chr18	12991062	12991697	CpG: 68	635	68	440	21.4	69.3	0.89
chr18	13136597	13137565	CpG: 105	968	105	699	21.7	72.2	0.84
chr18	13217074	13219045	CpG: 193	1971	193	1275	19.6	64.7	0.94
chr18	13262330	13263272	CpG: 94	942	94	655	20	69.5	0.86
chr18	13387386	13387687	CpG: 32	301	32	224	21.3	74.4	0.77
chr18	13498762	13499721	CpG: 63	959	63	556	13.1	58	0.86
chr18	13641585	13642416	CpG: 84	831	84	587	20.2	70.6	0.81
chr18	13725980	13727371	CpG: 134	1391	134	911	19.3	65.5	0.9
chr18	13801000	13801224	CpG: 23	224	23	167	20.5	74.6	0.74
chr18	13824002	13824378	CpG: 44	376	44	267	23.4	71	0.94
chr18	13826187	13826524	CpG: 27	337	27	209	16	62	0.85
chr18	13868533	13869027	CpG: 37	494	37	312	15	63.2	0.75
chr18	14132001	14132483	CpG: 33	482	33	305	13.7	63.3	0.69
chr18	14146395	14146629	CpG: 17	234	17	151	14.5	64.5	0.7
chr18	14178944	14179711	CpG: 63	767	63	505	16.4	65.8	0.78
chr18	14393228	14394012	CpG: 75	784	75	548	19.1	69.9	0.78
chr18	14430639	14431568	CpG: 78	929	78	638	16.8	68.7	0.72
chr18	14450104	14450985	CpG: 96	881	96	636	21.8	72.2	0.84
chr18	14458083	14459046	CpG: 70	963	70	632	14.5	65.6	0.68
chr18	14474588	14475009	CpG: 30	421	30	286	14.3	67.9	0.66
chr18	14486799	14487486	CpG: 51	687	51	461	14.8	67.1	0.66
chr18	14747517	14748232	CpG: 59	715	59	496	16.5	69.4	0.69
chr18	14997381	15000543	CpG: 305	3162	305	2226	19.3	70.4	0.79
chr18	15165110	15165343	CpG: 29	233	29	159	24.9	68.2	1.12
chr18	15197651	15198310	CpG: 78	659	78	460	23.7	69.8	0.98
chr18	15330309	15331175	CpG: 62	866	62	585	14.3	67.6	0.63
chr18	21110979	21112098	CpG: 113	1119	113	756	20.2	67.6	0.89
chr18	21241422	21243388	CpG: 194	1966	194	1333	19.7	67.8	0.86
chr18	21600088	21601065	CpG: 107	977	107	672	21.9	68.8	0.93
chr18	21612182	21612633	CpG: 49	451	49	310	21.7	68.7	0.92
chr18	21704204	21705091	CpG: 75	887	75	510	16.9	57.5	1.02
chr18	21740628	21741978	CpG: 140	1350	140	900	20.7	66.7	0.94
chr18	21896891	21897142	CpG: 20	251	20	156	15.9	62.2	0.83
chr18	22164975	22172402	CpG: 549	7427	549	4196	14.8	56.5	0.93
chr18	22176886	22177119	CpG: 30	233	30	168	25.8	72.1	0.99
chr18	22200656	22200936	CpG: 27	280	27	184	19.3	65.7	0.89
chr18	22348453	22349366	CpG: 86	913	86	558	18.8	61.1	1.02
chr18	22559521	22560283	CpG: 63	762	63	495	16.5	65	0.78
chr18	22933156	22933894	CpG: 86	738	86	507	23.3	68.7	0.99
chr18	23135004	23137107	CpG: 228	2103	228	1350	21.7	64.2	1.06
chr18	23437707	23438047	CpG: 30	340	30	203	17.6	59.7	1.03
chr18	23453107	23453654	CpG: 43	547	43	346	15.7	63.3	0.79
chr18	23503197	23504189	CpG: 103	992	103	606	20.8	61.1	1.12
chr18	23586194	23587102	CpG: 87	908	87	578	19.2	63.7	0.95
chr18	23619467	23619834	CpG: 41	367	41	249	22.3	67.8	0.97
chr18	23662402	23663010	CpG: 59	608	59	350	19.4	57.6	1.18
chr18	23689305	23690385	CpG: 118	1080	118	762	21.9	70.6	0.88
chr18	24014049	24015500	CpG: 138	1451	138	936	19	64.5	0.92
chr18	24138898	24139586	CpG: 58	688	58	441	16.9	64.1	0.83
chr18	24271435	24272205	CpG: 93	770	93	563	24.2	73.1	0.91
chr18	24397311	24397922	CpG: 75	611	75	429	24.5	70.2	1.01
chr18	24426346	24427043	CpG: 63	697	63	447	18.1	64.1	0.88
chr18	25349215	25350266	CpG: 113	1051	113	708	21.5	67.4	0.96
chr18	26090007	26091311	CpG: 122	1304	122	831	18.7	63.7	0.93
chr18	26133764	26133989	CpG: 25	225	25	152	22.2	67.6	1
chr18	26226319	26227129	CpG: 105	810	105	598	25.9	73.8	0.95
chr18	26546816	26551174	CpG: 348	4358	348	2580	16	59.2	0.91
chr18	26655625	26657297	CpG: 165	1672	165	1085	19.7	64.9	0.94
chr18	26863236	26863446	CpG: 21	210	21	153	20	72.9	0.76
chr18	27184987	27185543	CpG: 54	556	54	375	19.4	67.4	0.92
chr18	28175450	28178211	CpG: 257	2761	257	1726	18.6	62.5	0.95
chr18	31041523	31043151	CpG: 128	1628	128	996	15.7	61.2	0.85
chr18	31101357	31102396	CpG: 97	1039	97	713	18.7	68.6	0.8
chr18	31497589	31498563	CpG: 81	974	81	583	16.6	59.9	0.93
chr18	31684709	31685687	CpG: 145	978	145	707	29.7	72.3	1.14
chr18	31723997	31724291	CpG: 26	294	26	191	17.7	65	0.87
chr18	31942438	31943614	CpG: 95	1176	95	704	16.2	59.9	0.9
chr18	32018603	32019497	CpG: 78	894	78	597	17.4	66.8	0.79
chr18	32091794	32093351	CpG: 173	1557	173	1098	22.2	70.5	0.9
chr18	32470152	32471382	CpG: 131	1230	131	797	21.3	64.8	1.02
chr18	32769727	32772339	CpG: 169	2612	169	1559	12.9	59.7	0.73
chr18	33440546	33440883	CpG: 45	337	45	224	26.7	66.5	1.24
chr18	33577901	33578259	CpG: 30	358	30	196	16.8	54.7	1.2
chr18	33578519	33579023	CpG: 66	504	66	356	26.2	70.6	1.06
chr18	34159083	34159558	CpG: 45	475	45	334	18.9	70.3	0.77
chr18	34222394	34223828	CpG: 115	1434	115	878	16	61.2	0.86
chr18	34224516	34224911	CpG: 39	395	39	228	19.7	57.7	1.19
chr18	34493480	34494407	CpG: 116	927	116	683	25	73.7	0.94
chr18	34976690	34976945	CpG: 19	255	19	148	14.9	58	0.89
chr18	34977062	34977919	CpG: 68	857	68	579	15.9	67.6	0.7
chr18	35041251	35041725	CpG: 46	474	46	315	19.4	66.5	0.89
chr18	35240821	35241239	CpG: 42	418	42	294	20.1	70.3	0.82
chr18	35267320	35268166	CpG: 78	846	78	525	18.4	62.1	0.98
chr18	35290211	35290548	CpG: 32	337	32	217	19	64.4	0.92
chr18	35343951	35344621	CpG: 62	670	62	454	18.5	67.8	0.82
chr18	35376800	35377442	CpG: 61	642	61	439	19	68.4	0.83
chr18	35497581	35498099	CpG: 53	518	53	332	20.5	64.1	1
chr18	35580927	35582300	CpG: 190	1373	190	965	27.7	70.3	1.12
chr18	35949965	35950553	CpG: 53	588	53	397	18	67.5	0.8
chr18	35972188	35972676	CpG: 50	488	50	336	20.5	68.9	0.88
chr18	35972759	35972989	CpG: 17	230	17	137	14.8	59.6	0.83
chr18	36067102	36067702	CpG: 65	600	65	415	21.7	69.2	0.91
chr18	36128956	36130273	CpG: 126	1317	126	893	19.1	67.8	0.83
chr18	36186428	36188182	CpG: 141	1754	141	1156	16.1	65.9	0.74
chr18	36296764	36298681	CpG: 194	1917	194	1369	20.2	71.4	0.79
chr18	36745661	36745879	CpG: 17	218	17	154	15.6	70.6	1.02
chr18	36760621	36760887	CpG: 27	266	27	184	20.3	69.2	0.85
chr18	36828595	36829326	CpG: 87	731	87	509	23.8	69.6	0.98
chr18	37243835	37244054	CpG: 28	219	28	142	25.6	64.8	1.24
chr18	37253591	37254643	CpG: 115	1052	115	764	21.9	72.6	0.83
chr18	37274284	37275200	CpG: 68	916	68	499	14.8	54.5	1.01
chr18	37336749	37336952	CpG: 16	203	16	130	15.8	64	0.77
chr18	37394026	37394501	CpG: 43	475	43	302	18.1	63.6	0.9
chr18	37485076	37485796	CpG: 94	720	94	534	26.1	74.2	0.96
chr18	37524570	37524979	CpG: 53	409	53	295	25.9	72.1	1
chr18	37564944	37565326	CpG: 41	382	41	264	21.5	69.1	1.02
chr18	37566074	37567665	CpG: 134	1591	134	936	16.8	58.8	0.98
chr18	39841496	39841865	CpG: 34	369	34	248	18.4	67.2	0.82
chr18	44679018	44680830	CpG: 180	1812	180	1102	19.9	60.8	1.08
chr18	44744489	44745001	CpG: 40	512	40	311	15.6	60.7	0.85
chr18	45063740	45063972	CpG: 19	232	19	154	16.4	66.4	0.74
chr18	45775353	45775733	CpG: 37	380	37	245	19.5	64.5	0.94
chr18	45837423	45839138	CpG: 142	1715	142	1002	16.6	58.4	0.97
chr18	45967227	45967736	CpG: 45	509	45	320	17.7	62.9	0.92
chr18	46028174	46028544	CpG: 48	370	48	247	25.9	66.8	1.18
chr18	46071830	46072489	CpG: 80	659	80	483	24.3	73.3	0.91
chr18	46097990	46098386	CpG: 39	396	39	274	19.7	69.2	0.85
chr18	46104147	46104881	CpG: 57	734	57	453	15.5	61.7	0.82
chr18	46173337	46175138	CpG: 175	1801	175	1214	19.4	67.4	0.86
chr18	46333382	46333989	CpG: 65	607	65	415	21.4	68.4	0.93
chr18	46334288	46334514	CpG: 20	226	20	132	17.7	58.4	1.04
chr18	46560399	46560612	CpG: 20	213	20	152	18.8	71.4	0.78
chr18	46656876	46657093	CpG: 17	217	17	140	15.7	64.5	0.8
chr18	46679942	46680488	CpG: 47	546	47	351	17.2	64.3	0.85
chr18	46756220	46757147	CpG: 106	927	106	666	22.9	71.8	0.89
chr18	46757547	46758137	CpG: 47	590	47	368	15.9	62.4	0.84
chr18	46916947	46917869	CpG: 126	922	126	653	27.3	70.8	1.12
chr18	46946903	46947174	CpG: 23	271	23	154	17	56.8	1.11
chr18	46963074	46964866	CpG: 149	1792	149	1183	16.6	66	0.76
chr18	46969001	46969905	CpG: 74	904	74	588	16.4	65	0.77
chr18	47022593	47024385	CpG: 148	1792	148	1183	16.5	66	0.76
chr18	47028508	47030300	CpG: 148	1792	148	1183	16.5	66	0.76
chr18	47034654	47035451	CpG: 62	797	62	521	15.6	65.4	0.73
chr18	47150099	47150686	CpG: 63	587	63	400	21.5	68.1	0.94
chr18	47176051	47176469	CpG: 43	418	43	282	20.6	67.5	0.93
chr18	47246621	47249206	CpG: 221	2585	221	1409	17.1	54.5	1.16
chr18	47251261	47251713	CpG: 45	452	45	300	19.9	66.4	0.91
chr18	47261035	47261467	CpG: 35	432	35	246	16.2	56.9	1.05
chr18	47263371	47264307	CpG: 71	936	71	594	15.2	63.5	0.76
chr18	47930113	47931653	CpG: 186	1540	186	1036	24.2	67.3	1.07
chr18	48008210	48008647	CpG: 40	437	40	239	18.3	54.7	1.27
chr18	48029273	48029842	CpG: 61	569	61	410	21.4	72.1	0.83
chr18	48135943	48137149	CpG: 116	1206	116	849	19.2	70.4	0.78
chr18	48161426	48162141	CpG: 58	715	58	412	16.2	57.6	1.01
chr18	48408082	48410894	CpG: 262	2812	262	1713	18.6	60.9	1.01
chr18	48538690	48538892	CpG: 18	202	18	130	17.8	64.4	0.87
chr18	48539162	48541455	CpG: 219	2293	219	1479	19.1	64.5	0.92
chr18	48761535	48761769	CpG: 20	234	20	148	17.1	63.2	0.86
chr18	48859895	48860110	CpG: 20	215	20	139	18.6	64.7	0.89
chr18	48921348	48921713	CpG: 25	365	25	220	13.7	60.3	0.76
chr18	48948561	48948951	CpG: 39	390	39	224	20	57.4	1.21
chr18	48949962	48952994	CpG: 275	3032	275	1834	18.1	60.5	0.99
chr18	48975254	48976606	CpG: 152	1352	152	911	22.5	67.4	0.99
chr18	49460134	49460824	CpG: 74	690	74	495	21.4	71.7	0.83
chr18	49487020	49487531	CpG: 59	511	59	350	23.1	68.5	0.98
chr18	49492064	49492578	CpG: 42	514	42	329	16.3	64	0.8
chr18	49560705	49561076	CpG: 34	371	34	252	18.3	67.9	0.79
chr18	49561509	49562158	CpG: 47	649	47	408	14.5	62.9	0.74
chr18	49813041	49813741	CpG: 60	700	60	451	17.1	64.4	0.83
chr18	49814007	49814586	CpG: 41	579	41	375	14.2	64.8	0.74
chr18	50193496	50195372	CpG: 196	1876	196	1308	20.9	69.7	0.86
chr18	50266372	50266666	CpG: 34	294	34	203	23.1	69	0.97
chr18	50268080	50268626	CpG: 50	546	50	358	18.3	65.6	0.85
chr18	50281487	50282995	CpG: 122	1508	122	980	16.2	65	0.77
chr18	50287064	50288176	CpG: 96	1112	96	678	17.3	61	0.99
chr18	50298699	50298955	CpG: 30	256	30	188	23.4	73.4	0.87
chr18	50340162	50340380	CpG: 18	218	18	146	16.5	67	0.74
chr18	50374992	50375292	CpG: 29	300	29	197	19.3	65.7	0.92
chr18	50559468	50561219	CpG: 189	1751	189	1276	21.6	72.9	0.81
chr18	50664064	50664299	CpG: 21	235	21	144	17.9	61.3	0.96
chr18	50729174	50729989	CpG: 78	815	78	521	19.1	63.9	0.94
chr18	50878765	50879613	CpG: 109	848	109	629	25.7	74.2	0.93
chr18	50967906	50968298	CpG: 62	392	62	314	31.6	80.1	0.99
chr18	51029921	51030963	CpG: 120	1042	120	713	23	68.4	0.98
chr18	51196160	51198055	CpG: 156	1895	156	1069	16.5	56.4	1.04
chr18	52342007	52342352	CpG: 29	345	29	203	16.8	58.8	0.98
chr18	54224399	54224821	CpG: 59	422	59	326	28	77.3	0.97
chr18	54269341	54269962	CpG: 52	621	52	395	16.7	63.6	0.84
chr18	54357577	54358624	CpG: 82	1047	82	652	15.7	62.3	0.83
chr18	54828373	54828776	CpG: 30	403	30	267	14.9	66.3	0.68
chr18	54959286	54959618	CpG: 39	332	39	259	23.5	78	0.78
chr18	55587822	55588464	CpG: 80	642	80	435	24.9	67.8	1.09
chr18	55589787	55590078	CpG: 30	291	30	194	20.6	66.7	0.96
chr18	55779843	55780611	CpG: 86	768	86	524	22.4	68.2	0.97
chr18	56638188	56638856	CpG: 57	668	57	394	17.1	59	0.98
chr18	56651225	56651554	CpG: 30	329	30	207	18.2	62.9	0.92
chr18	57121728	57121963	CpG: 24	235	24	176	20.4	74.9	0.73
chr18	57352476	57354374	CpG: 154	1898	154	1222	16.2	64.4	0.78
chr18	57427593	57429078	CpG: 164	1485	164	1011	22.1	68.1	0.95
chr18	57434732	57441621	CpG: 458	6889	458	3996	13.3	58	0.79
chr18	57586312	57586861	CpG: 70	549	70	396	25.5	72.1	1.01
chr18	57621408	57622250	CpG: 74	842	74	556	17.6	66	0.81
chr18	57630128	57630428	CpG: 32	300	32	199	21.3	66.3	0.97
chr18	57648498	57648700	CpG: 29	202	29	142	28.7	70.3	1.16
chr18	57801824	57804031	CpG: 168	2207	168	1415	15.2	64.1	0.75
chr18	58043596	58045300	CpG: 168	1704	168	1109	19.7	65.1	0.94
chr18	58195421	58195641	CpG: 19	220	19	155	17.3	70.5	0.7
chr18	58255755	58256836	CpG: 96	1081	96	713	17.8	66	0.81
chr18	58670979	58671846	CpG: 92	867	92	586	21.2	67.6	0.93
chr18	58768458	58768751	CpG: 27	293	27	213	18.4	72.7	0.7
chr18	58863447	58864115	CpG: 77	668	77	444	23.1	66.5	1.05
chr18	59139376	59140193	CpG: 69	817	69	545	16.9	66.7	0.76
chr18	59219859	59220433	CpG: 57	574	57	389	19.9	67.8	0.87
chr18	59264770	59265109	CpG: 32	339	32	223	18.9	65.8	0.87
chr18	59265481	59265762	CpG: 26	281	26	191	18.5	68	0.82
chr18	59267601	59269595	CpG: 161	1994	161	1296	16.1	65	0.77
chr18	59272392	59274308	CpG: 174	1916	174	1312	18.2	68.5	0.78
chr18	59308610	59308928	CpG: 35	318	35	223	22	70.1	0.9
chr18	59358833	59359537	CpG: 65	704	65	464	18.5	65.9	0.85
chr18	59696482	59697769	CpG: 119	1287	119	864	18.5	67.1	0.82
chr18	59899684	59900491	CpG: 79	807	79	484	19.6	60	1.09
chr18	59969437	59969895	CpG: 59	458	59	345	25.8	75.3	0.92
chr18	61333450	61334459	CpG: 98	1009	98	697	19.4	69.1	0.82
chr18	61554218	61554753	CpG: 64	535	64	358	23.9	66.9	1.07
chr18	61893476	61894716	CpG: 129	1240	129	849	20.8	68.5	0.91
chr18	62186744	62188019	CpG: 96	1275	96	734	15.1	57.6	0.91
chr18	62324836	62326323	CpG: 131	1487	131	949	17.6	63.8	0.87
chr18	62384636	62385037	CpG: 41	401	41	281	20.4	70.1	0.83
chr18	62522276	62524876	CpG: 293	2600	293	1807	22.5	69.5	0.94
chr18	62526581	62526972	CpG: 45	391	45	250	23	63.9	1.13
chr18	62596147	62597015	CpG: 91	868	91	606	21	69.8	0.86
chr18	62715071	62717138	CpG: 199	2067	199	1203	19.3	58.2	1.14
chr18	63318270	63321053	CpG: 236	2783	236	1653	17	59.4	0.96
chr18	63366481	63367823	CpG: 124	1342	124	815	18.5	60.7	1
chr18	63422029	63423124	CpG: 84	1095	84	649	15.3	59.3	0.87
chr18	63936166	63937010	CpG: 63	844	63	555	14.9	65.8	0.69
chr18	63970191	63970707	CpG: 48	516	48	364	18.6	70.5	0.81
chr18	64002635	64003021	CpG: 36	386	36	248	18.7	64.2	0.91
chr18	65750600	65751404	CpG: 88	804	88	554	21.9	68.9	0.92
chr18	67516000	67516736	CpG: 83	736	83	514	22.6	69.8	0.93
chr18	68714697	68715338	CpG: 67	641	67	443	20.9	69.1	0.88
chr18	69400273	69401932	CpG: 174	1659	174	1062	21	64	1.03
chr18	69402697	69402935	CpG: 16	238	16	145	13.4	60.9	0.72
chr18	69469671	69470012	CpG: 23	341	23	197	13.5	57.8	0.81
chr18	70205285	70206122	CpG: 80	837	80	516	19.1	61.6	1.01
chr18	70288456	70289826	CpG: 200	1370	200	1058	29.2	77.2	0.98
chr18	70430570	70430860	CpG: 21	290	21	185	14.5	63.8	0.71
chr18	72541739	72544555	CpG: 225	2816	225	1664	16	59.1	0.92
chr18	72866730	72869636	CpG: 275	2906	275	1874	18.9	64.5	0.91
chr18	74147320	74148481	CpG: 97	1161	97	700	16.7	60.3	0.93
chr18	74290906	74292535	CpG: 151	1629	151	1064	18.5	65.3	0.87
chr18	74315517	74316509	CpG: 67	992	67	612	13.5	61.7	0.72
chr18	74456371	74457482	CpG: 138	1111	138	839	24.8	75.5	0.87
chr18	74495700	74496804	CpG: 100	1104	100	741	18.1	67.1	0.81
chr18	74597281	74598728	CpG: 136	1447	136	958	18.8	66.2	0.86
chr18	75087687	75087991	CpG: 23	304	23	182	15.1	59.9	0.85
chr18	75204152	75205278	CpG: 111	1126	111	793	19.7	70.4	0.8
chr18	75207959	75212227	CpG: 353	4268	353	2484	16.5	58.2	0.98
chr18	75287695	75288133	CpG: 28	438	28	262	12.8	59.8	0.72
chr18	75455447	75455965	CpG: 69	518	69	389	26.6	75.1	0.95
chr18	75915962	75916703	CpG: 86	741	86	525	23.2	70.9	0.93
chr18	76350415	76350892	CpG: 40	477	40	324	16.8	67.9	0.74
chr18	76357313	76357551	CpG: 24	238	24	165	20.2	69.3	0.86
chr18	76379281	76379944	CpG: 47	663	47	428	14.2	64.6	0.68
chr18	76401540	76401861	CpG: 25	321	25	225	15.6	70.1	0.78
chr18	76402595	76402835	CpG: 18	240	18	131	15	54.6	1.02
chr18	76441283	76443117	CpG: 179	1834	179	1276	19.5	69.6	0.81
chr18	76458574	76458835	CpG: 33	261	33	177	25.3	67.8	1.1
chr18	76490794	76496530	CpG: 396	5736	396	3241	13.8	56.5	0.88
chr18	76613852	76614125	CpG: 22	273	22	180	16.1	65.9	0.76
chr18	76787360	76787685	CpG: 28	325	28	207	17.2	63.7	0.87
chr18	76821853	76823949	CpG: 199	2096	199	1251	19	59.7	1.06
chr18	76894987	76895212	CpG: 23	225	23	146	20.4	64.9	1
chr18	76919885	76920089	CpG: 16	204	16	131	15.7	64.2	0.77
chr18	76979306	76979510	CpG: 17	204	17	131	16.7	64.2	0.81
chr18	77058395	77058634	CpG: 20	239	20	127	16.7	53.1	1.21
chr18	77087188	77088082	CpG: 62	894	62	570	13.9	63.8	0.68
