#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID
"ENST00000816403.1","chr19","-","65823","70963","65823","65823","3","65823,66825,70927,","66499,66848,70963,","","uc344seo.1"
"ENST00000633742.1","chr19","-","66319","66492","66319","66319","1","66319,","66492,","","uc286oxj.1"
"ENST00000631994.1","chr19","-","66377","71566","66377","66377","2","66377,71140,","66499,71566,","","uc286oxk.1"
"ENST00000816406.1","chr19","-","68159","70954","68159","68159","2","68159,70927,","68793,70954,","","uc344ser.1"
"ENST00000632280.1","chr19","+","68402","69178","68402","68402","1","68402,","69178,","","uc284pki.1"
"ENST00000631744.1","chr19","+","69166","69972","69166","69166","1","69166,","69972,","","uc284pkj.1"
"ENST00000632292.1","chr19","-","70651","71626","70651","70651","1","70651,","71626,","","uc286oxl.1"
"ENST00000633603.2","chr19","+","71005","72719","71005","71005","2","71005,72584,","72274,72719,","","uc284pkk.2"
"ENST00000816564.1","chr19","+","71029","72719","71029","71029","3","71029,72170,72584,","71334,72274,72719,","","uc344skt.1"
"ENST00000816566.1","chr19","+","71038","72718","71038","71038","3","71038,72170,72584,","71646,72274,72718,","","uc344skv.1"
"ENST00000408051.1","chr19","+","71972","72110","71972","71972","1","71972,","72110,","","uc032hiw.1"
"ENST00000733046.1","chr19","-","76161","79204","76161","76161","3","76161,76885,79016,","76783,77090,79204,","","uc339zyj.1"
"ENST00000631376.2","chr19","-","76162","77876","76162","76162","3","76162,76885,77329,","76783,77090,77876,","","uc284pkl.2"
"ENST00000632948.1","chr19","-","76219","77659","76219","76219","2","76219,77329,","77090,77659,","","uc284pkm.1"
"ENST00000733050.1","chr19","-","76221","79096","76221","76221","4","76221,76885,77329,79016,","76783,77090,77570,79096,","","uc339zyn.1"
"ENST00000733049.1","chr19","-","76221","79107","76221","76221","4","76221,76885,78720,79016,","76783,77090,78799,79107,","","uc339zym.1"
"ENST00000733047.1","chr19","-","76221","79132","76221","76221","4","76221,77329,78720,79016,","77090,77570,78799,79132,","","uc339zyk.1"
"ENST00000733051.1","chr19","-","76226","79101","76226","76226","4","76226,76885,78720,79016,","76797,77090,78799,79101,","","uc339zyo.1"
"ENST00000733048.1","chr19","-","76226","79124","76226","76226","2","76226,79016,","77090,79124,","","uc339zyl.1"
"ENST00000732904.1","chr19","+","78134","82387","78134","78134","3","78134,79730,82276,","78340,79863,82387,","","uc339zsx.1"
"ENST00000732903.1","chr19","+","78134","88283","78134","78134","3","78134,79730,88033,","78340,79863,88283,","","uc339zsw.1"
"ENST00000745829.1","chr19","+","93490","105051","93490","93490","4","93490,94891,100275,104501,","93600,94982,100432,105051,","","uc340ser.1"
"ENST00000633500.1","chr19","+","94061","94974","94061","94061","1","94061,","94974,","","uc286oxm.1"
"ENST00000641173.1","chr19","+","99174","106077","99174","99174","3","99174,100275,104501,","99229,100432,106077,","","uc286oxn.1"
"ENST00000641984.1","chr19","+","99174","106077","99174","99174","2","99174,104501,","99229,106077,","","uc286oxo.1"
"ENST00000588632.2","chr19","+","104534","105472","104534","104534","1","104534,","105472,","","uc286oxp.1"
"ENST00000585993.3","chr19","+","107103","113156","110678","111596","3","107103,107472,110624,","107157,107555,113156,","Q8NGA8","uc285pgp.1"
"ENST00000618231.3","chr19","+","107103","113156","107148","111596","2","107103,110624,","107157,113156,","A0A2U3U062","uc285pgq.1"
"ENST00000641591.1","chr19","+","107103","117102","107103","107103","4","107103,107472,110624,116506,","107157,107555,110681,117102,","","uc285pgr.1"
"ENST00000318050.4","chr19","+","110642","111696","110678","111596","1","110642,","111696,","Q8NGA8","uc060qng.1"
"ENST00000586141.1","chr19","+","145484","145812","145484","145484","1","145484,","145812,","","uc286oxq.1"
"ENST00000727640.1","chr19","-","145912","171406","145912","145912","4","145912,153310,169764,171324,","146122,153478,169836,171406,","","uc339rym.1"
"ENST00000589943.1","chr19","-","156278","157215","156278","156278","1","156278,","157215,","","uc286oxr.1"
"ENST00000633154.1","chr19","+","176895","177913","176895","176895","1","176895,","177913,","","uc284pkn.1"
"ENST00000715915.1","chr19","-","181464","246548","181464","181464","7","181464,231256,233372,234425,237935,239129,246396,","182785,231315,233542,234641,238067,239239,246548,","","uc339asd.1"
"ENST00000844199.1","chr19","-","182726","246534","182726","182726","7","182726,231256,233340,234425,237935,239129,246396,","182785,231315,233542,234641,238067,239239,246534,","","uc346hfj.1"
"ENST00000632397.1","chr19","-","186372","191429","186372","186372","2","186372,191185,","186498,191429,","","uc286oxs.1"
"ENST00000587432.6","chr19","-","190726","198345","190726","190726","3","190726,195503,198283,","191354,195831,198345,","","uc286oxu.2"
"ENST00000715916.1","chr19","-","190726","246534","190726","190726","2","190726,246396,","191354,246534,","","uc339ase.1"
"ENST00000633205.1","chr19","-","191114","191325","191114","191114","1","191114,","191325,","","uc286oxt.1"
"ENST00000632944.1","chr19","+","193238","195595","193238","193238","1","193238,","195595,","","uc286oxv.1"
"ENST00000632679.1","chr19","-","197309","198066","197309","197309","1","197309,","198066,","","uc286oxw.1"
"ENST00000633895.1","chr19","+","197960","198396","197960","197960","1","197960,","198396,","","uc286oxx.1"
"ENST00000633286.1","chr19","+","198051","200775","198051","198051","2","198051,200577,","198234,200775,","","uc286oxy.1"
"ENST00000632790.1","chr19","-","198263","200507","198263","198263","2","198263,200390,","198595,200507,","","uc284pko.1"
"ENST00000633808.1","chr19","-","199375","201002","199375","199375","2","199375,200390,","199611,201002,","","uc284pkp.1"
"ENST00000632102.1","chr19","-","199834","200736","199834","199834","2","199834,200390,","200049,200736,","","uc284pkq.1"
"ENST00000631858.1","chr19","-","200111","202192","200111","200111","3","200111,201755,202040,","201662,201813,202192,","","uc284pkr.1"
"ENST00000632795.1","chr19","-","200498","201174","200498","200498","1","200498,","201174,","","uc286oxz.1"
"ENST00000633402.1","chr19","-","201196","203987","201196","201196","3","201196,201755,203946,","201662,201813,203987,","","uc284pks.1"
"ENST00000631764.1","chr19","-","201216","205459","201216","201216","2","201216,205169,","201662,205459,","","uc284pkt.1"
"ENST00000632747.1","chr19","-","201251","205606","201251","201251","3","201251,205169,205454,","201662,205227,205606,","","uc284pku.1"
"ENST00000633344.1","chr19","-","201346","209396","201346","201346","5","201346,201755,203870,208326,209224,","201662,201813,204065,208391,209396,","","uc284pkv.1"
"ENST00000631412.1","chr19","-","201353","204024","201353","201353","2","201353,203874,","201662,204024,","","uc284pkw.1"
"ENST00000631484.1","chr19","-","201359","205598","201359","201359","5","201359,201755,203874,205169,205454,","201662,201813,204065,205227,205598,","","uc284pkx.1"
"ENST00000631864.1","chr19","-","201361","204079","201361","201361","3","201361,201755,203874,","201662,201813,204079,","","uc284pky.1"
"ENST00000634022.1","chr19","-","201403","208387","201403","201403","5","201403,201636,201755,203874,208326,","201445,201662,201813,204065,208387,","","uc284pkz.1"
"ENST00000631988.1","chr19","-","201408","202158","201408","201408","2","201408,201755,","201662,202158,","","uc284pla.1"
"ENST00000631797.1","chr19","-","201454","205327","201454","201454","4","201454,201755,203874,205169,","201662,201813,204065,205327,","","uc284plb.1"
"ENST00000633773.1","chr19","-","201522","209379","201522","201522","5","201522,201755,203874,208326,209224,","201662,201813,204065,208391,209379,","","uc284plc.1"
"ENST00000633199.1","chr19","-","203904","209604","203904","203904","3","203904,208326,209235,","204065,208391,209604,","","uc284pld.1"
"ENST00000633592.1","chr19","-","203936","205598","203936","203936","4","203936,204843,205169,205454,","204069,205076,205227,205598,","","uc284ple.1"
"ENST00000632086.1","chr19","-","203940","205946","203940","203940","4","203940,204833,205169,205454,","204065,205076,205227,205946,","","uc284plf.1"
"ENST00000633951.1","chr19","-","203950","205589","203950","203950","4","203950,204817,205169,205454,","204065,205076,205227,205589,","","uc284plg.1"
"ENST00000633363.1","chr19","-","203961","209316","203961","203961","5","203961,204843,205169,208326,209235,","204065,205076,205227,208391,209316,","","uc284plh.1"
"ENST00000632351.1","chr19","-","203970","209370","203970","203970","6","203970,204843,205169,208326,208957,209235,","203994,205076,205227,208391,209014,209370,","","uc284pli.1"
"ENST00000631401.1","chr19","-","203973","205411","203973","203973","3","203973,204843,205169,","204065,205076,205411,","","uc284plj.1"
"ENST00000631832.1","chr19","-","203975","209644","203975","203975","4","203975,205169,208326,209235,","204065,205227,208391,209644,","","uc284plk.1"
"ENST00000634025.1","chr19","-","204011","209369","204011","204011","5","204011,204843,205169,208326,209224,","204065,205076,205227,208391,209369,","","uc284pll.1"
"ENST00000632405.1","chr19","-","204015","205946","204015","204015","3","204015,205169,205454,","204065,205227,205946,","","uc284plm.1"
"ENST00000631772.1","chr19","-","204920","211866","204920","204920","6","204920,205169,208326,208957,209768,211761,","205076,205227,208391,209014,209866,211866,","","uc284pln.1"
"ENST00000633151.1","chr19","-","208187","212219","208187","208187","3","208187,211761,212017,","208391,211885,212219,","","uc284plo.1"
"ENST00000633674.1","chr19","-","208247","209654","208247","208247","2","208247,209235,","208391,209654,","","uc284plp.1"
"ENST00000631644.1","chr19","-","209218","224007","209218","209218","4","209218,211761,221140,223937,","209432,211885,221205,224007,","","uc284plq.1"
"ENST00000633109.1","chr19","-","211251","221199","211251","211251","2","211251,221140,","211715,221199,","","uc284plr.1"
"ENST00000632624.3","chr19","-","211251","246555","211251","211251","10","211251,221140,223966,229635,231256,233476,234425,237935,239129,246396,","211885,221205,224048,230164,231315,233542,234641,238067,239239,246555,","","uc284pls.3"
"ENST00000633295.1","chr19","-","214323","221504","214323","214323","2","214323,221140,","214451,221504,","","uc284plt.1"
"ENST00000632203.1","chr19","-","218834","229801","218834","218834","3","218834,221140,229635,","218917,221205,229801,","","uc284plu.1"
"ENST00000410397.1","chr19","-","223157","223261","223157","223157","1","223157,","223261,","","uc060qni.1"
"ENST00000632075.1","chr19","-","223912","229862","223912","223912","2","223912,229635,","224048,229862,","","uc284plv.1"
"ENST00000633179.1","chr19","-","224014","237967","224014","224014","5","224014,231256,233476,234425,237935,","224048,231315,233542,234641,237967,","","uc284plw.1"
"ENST00000844200.1","chr19","-","231072","246538","231072","231072","6","231072,233335,234425,237935,239129,246396,","231315,233542,234641,238067,239239,246538,","","uc346hfk.1"
"ENST00000660559.1","chr19","-","232976","246544","232976","232976","5","232976,234425,237935,239129,246396,","233542,234641,238067,239239,246544,","","uc287usx.1"
"ENST00000844201.1","chr19","-","233235","246446","233235","233235","5","233235,234425,237935,239129,246113,","233542,234641,238067,239239,246446,","","uc346hfl.1"
"ENST00000633671.1","chr19","-","233371","239440","233371","233371","4","233371,234425,237935,239129,","233542,234641,238067,239440,","","uc284plx.1"
"ENST00000666656.2","chr19","-","233681","246534","233681","233681","4","233681,237935,239129,246396,","234641,238067,239239,246534,","","uc288dry.2"
"ENST00000844202.1","chr19","-","234063","246490","234063","234063","5","234063,234619,237935,239129,246396,","234140,234641,238067,239239,246490,","","uc346hfm.1"
"ENST00000633522.1","chr19","-","234423","239349","234423","234423","3","234423,237935,239129,","234641,238067,239349,","","uc284ply.1"
"ENST00000844482.1","chr19","+","235955","242625","235955","235955","2","235955,241851,","236013,242625,","","uc346hqg.1"
"ENST00000844203.1","chr19","-","238659","246553","238659","238659","2","238659,246396,","239239,246553,","","uc346hfn.1"
"ENST00000844204.1","chr19","-","242829","246513","242829","242829","2","242829,246396,","243032,246513,","","uc346hfo.1"
"ENST00000632484.1","chr19","-","248550","251571","248550","248550","1","248550,","251571,","","uc284plz.1"
"ENST00000327790.7","chr19","-","281039","291185","281387","291066","6","281039,282133,282751,287473,288019,290951,","281537,282310,282809,287751,288171,291185,","O43688","uc002loh.5"
"ENST00000269812.7","chr19","-","281042","291393","281387","288055","6","281042,282133,282751,287473,288019,291325,","281537,282310,282809,287751,288171,291393,","O43688","uc002loj.5"
"ENST00000434325.7","chr19","-","281042","291403","281387","291336","6","281042,282133,282751,287473,288019,291284,","281537,282310,282809,287751,288171,291403,","O43688","uc002loi.6"
"ENST00000621795.1","chr19","-","281045","288537","281045","281045","3","281045,282133,282751,","281537,282310,288537,","","uc060qnj.1"
"ENST00000633125.1","chr19","-","281462","291398","281462","288055","6","281462,282133,282751,287473,288019,291288,","281537,282310,282809,287751,288171,291398,","A0A0J9YXA3","uc284pma.1"
"ENST00000586998.3","chr19","-","281990","287636","282121","287636","3","281990,282751,287473,","282310,282809,287636,","K7ENH4","uc060qnk.2"
"ENST00000591572.2","chr19","-","282774","291382","282774","291336","4","282774,287473,288019,291284,","282809,287751,288189,291382,","K7EMK9","uc060qnl.1"
"ENST00000589672.2","chr19","-","287583","288538","287583","287583","2","287583,288019,","287751,288538,","","uc060qnm.2"
"ENST00000591533.1","chr19","+","305572","306467","305572","305572","2","305572,306056,","305703,306467,","","uc060qnn.1"
"ENST00000619835.4","chr19","-","305572","308923","306689","308923","4","305572,307118,308576,308821,","306711,307536,308665,308923,","A0A087WZA4","uc284pmb.1"
"ENST00000264819.7","chr19","-","305572","344796","306689","344782","14","305572,307118,308576,308800,311844,312190,313491,325634,326506,327132,327863,334399,336082,344773,","306711,307536,308665,308925,311939,312272,313643,325704,326598,327256,327989,334542,336173,344796,","Q8N344","uc002lok.3"
"ENST00000635755.1","chr19","-","326593","344815","327874","344782","5","326593,327132,327863,334399,344773,","326598,327256,327989,334542,344815,","A0A1B0GUC1","uc285pgs.1"
"ENST00000586994.7","chr19","-","326619","344778","326619","326619","5","326619,327863,334399,336082,344773,","327256,327989,334542,336173,344778,","","uc060qnq.2"
"ENST00000621180.4","chr19","-","327063","336194","327063","327063","4","327063,327863,334399,336082,","327256,327989,334542,336194,","","uc060qnr.1"
"ENST00000592722.1","chr19","-","327863","340599","327863","327863","5","327863,330263,334399,336082,340513,","327989,330380,334542,336173,340599,","","uc060qns.1"
"ENST00000587966.2","chr19","-","334114","344807","334114","334114","2","334114,344773,","334542,344807,","","uc060qnt.1"
"ENST00000530711.3","chr19","-","361746","374620","362258","374384","3","361746,367064,374298,","362426,367224,374620,","U3KQD4","uc060qnu.2"
"ENST00000342640.9","chr19","-","361746","376026","362199","375970","8","361746,367064,371204,372630,373469,373939,374298,375662,","362426,367224,371322,372700,373531,374011,374421,376026,","Q9P2T0","uc002lol.5"
"ENST00000346878.3","chr19","-","362056","375970","362199","375970","7","362056,367064,371204,372630,373469,374298,375662,","362426,367224,371322,372700,373531,374421,375970,","Q9P2T0","uc002lom.5"
"ENST00000528213.1","chr19","-","367201","374249","367201","367201","5","367201,371204,372630,373469,373939,","367224,371322,372700,373531,374249,","","uc060qnv.1"
"ENST00000797533.1","chr19","+","374419","387548","374419","374419","5","374419,374976,384600,385123,386585,","374721,375123,384729,385215,387548,","","uc343qhg.1"
"ENST00000797534.1","chr19","+","374483","387544","374483","374483","3","374483,374976,386585,","374721,375123,387544,","","uc343qhh.1"
"ENST00000797535.1","chr19","+","375012","384827","375012","375012","2","375012,383742,","375123,384827,","","uc343qhi.1"
"ENST00000662087.1","chr19","+","382724","387533","382724","382724","4","382724,383639,385123,386585,","382820,384729,385215,387533,","","uc287wzi.1"
"ENST00000591757.2","chr19","+","397588","399173","397588","397588","2","397588,398689,","397633,399173,","","uc060qnw.1"
"ENST00000720784.1","chr19","-","399159","401652","399159","399159","3","399159,400952,401445,","399599,401081,401652,","","uc339huz.1"
"ENST00000332235.8","chr19","-","405444","409147","407095","408361","2","405444,409005,","408401,409147,","Q8TF44","uc002loo.6"
"ENST00000587423.5","chr19","-","416588","419879","416588","416588","2","416588,418922,","417322,419879,","","uc060qnx.1"
"ENST00000588376.5","chr19","-","416588","422828","416588","416588","3","416588,418922,422145,","417322,419056,422828,","","uc060qny.1"
"ENST00000264554.11","chr19","-","416588","461033","418927","460996","13","416588,418922,422145,425096,430683,434708,436164,436379,436629,438717,438969,440861,460528,","417322,419056,422456,425231,430747,434865,436291,436431,436683,438837,439030,440932,461033,","P98077","uc002loq.5"
"ENST00000590170.3","chr19","-","417199","436268","422288","436268","6","417199,418922,422145,430683,434708,436164,","417322,419056,422379,430747,434865,436268,","K7EKS8","uc060qnz.2"
"ENST00000747725.1","chr19","+","427333","441813","427333","427333","2","427333,440486,","427450,441813,","","uc340uzh.1"
"ENST00000590222.5","chr19","-","430740","460571","439397","460571","10","430740,434708,436164,436379,436629,438717,438969,439232,440861,460528,","430747,434865,436291,436431,436683,438837,439030,439491,440932,460571,","K7ENB2","uc060qob.1"
"ENST00000590113.4","chr19","-","435778","439267","435778","435778","7","435778,436164,436379,436629,438717,438969,439232,","435961,436291,436431,436683,438837,439030,439267,","","uc284pmc.1"
"ENST00000516730.1","chr19","+","453133","453245","453133","453133","1","453133,","453245,","","uc060qod.1"
"ENST00000382696.7","chr19","-","463345","474880","463843","474747","3","463345,467648,474620,","464364,467762,474880,","Q3SX64","uc010drp.4"
"ENST00000315489.5","chr19","-","463360","474983","463843","474747","4","463360,467648,472393,474620,","464364,467762,472501,474983,","Q3SX64","uc002lor.4"
"ENST00000591681.3","chr19","-","464166","472615","464166","464166","3","464166,467648,472393,","464364,467762,472615,","","uc060qoe.2"
"ENST00000587541.5","chr19","+","489175","505342","490029","504965","3","489175,501668,504744,","490039,501929,505342,","U3KQ59","uc060qof.2"
"ENST00000592413.2","chr19","-","490045","507833","490045","490045","3","490045,501540,507375,","490353,501624,507833,","","uc060qog.1"
"ENST00000346144.8","chr19","+","496453","505340","496499","504965","4","496453,497832,498495,504744,","496551,498117,498825,505340,","Q13477","uc002lot.4"
"ENST00000215637.8","chr19","+","496485","505343","496499","504965","5","496485,497832,498495,501668,504744,","496551,498117,498825,501929,505343,","Q13477","uc002los.6"
"ENST00000382683.8","chr19","+","496499","504965","496499","504965","3","496499,498495,504744,","496551,498825,504965,","Q13477","uc010drq.4"
"ENST00000622449.2","chr19","+","497816","498727","497816","497816","2","497816,498495,","498117,498727,","","uc060qom.2"
"ENST00000813738.1","chr19","-","499773","532972","499773","499773","3","499773,501540,532819,","500842,501624,532972,","","uc344ogi.1"
"ENST00000359315.6","chr19","+","507496","519654","507506","519423","2","507496,518888,","507844,519654,","Q6ZTW0","uc002lou.5"
"ENST00000588278.1","chr19","+","507499","510372","507499","507499","1","507499,","510372,","","uc021ulw.2"
"ENST00000215574.9","chr19","+","531759","542087","531931","541552","5","531759,535836,536242,537012,541338,","532108,535923,536340,537147,542087,","P49427","uc002lov.6"
"ENST00000586788.1","chr19","+","531768","536715","531768","531768","3","531768,535836,536242,","532108,535923,536715,","","uc060qon.1"
"ENST00000586283.6","chr19","+","532031","542092","532031","541385","5","532031,535836,536242,537012,541342,","532108,535923,536340,537147,542092,","U3KPV8","uc284pmd.1"
"ENST00000607527.5","chr19","+","532099","541585","532099","541552","4","532099,535836,536242,541360,","532108,535923,536278,541585,","U3KQP9","uc060qop.2"
"ENST00000606065.3","chr19","+","535836","542087","535836","541385","4","535836,536242,537012,541345,","535923,536340,537147,542087,","U3KQ77","uc060qoq.2"
"ENST00000606400.3","chr19","+","536952","542042","536952","536952","2","536952,541338,","537147,542042,","","uc060qor.2"
"ENST00000593036.4","chr19","+","541216","541661","541216","541216","2","541216,541338,","541252,541661,","","uc060qos.2"
"ENST00000592501.5","chr19","+","544033","549924","547341","549791","5","544033,547283,548541,548921,549629,","544126,547436,548677,549185,549924,","U3KQV5","uc031rit.2"
"ENST00000264553.6","chr19","+","544052","549922","544071","549791","5","544052,547279,548541,548921,549629,","544126,547436,548677,549185,549922,","P51124","uc002low.5"
"ENST00000690830.1","chr19","-","562359","571728","562359","562359","4","562359,567449,571439,571696,","562653,567624,571596,571728,","","uc315sip.1"
"ENST00000688427.3","chr19","-","562359","571757","562359","562359","4","562359,567455,571439,571696,","562653,567624,571596,571757,","","uc315ouc.3"
"ENST00000722503.1","chr19","-","562359","572330","562359","562359","3","562359,571439,572108,","562653,571596,572330,","","uc339kjc.1"
"ENST00000722504.1","chr19","-","562363","572330","562363","562363","4","562363,567455,571439,572108,","562653,567624,571596,572330,","","uc339kjd.1"
"ENST00000590292.7","chr19","-","566817","571919","566817","566817","3","566817,571439,571696,","567624,571596,571919,","","uc060qov.4"
"ENST00000588908.7","chr19","-","566822","571776","566822","566822","3","566822,571439,571696,","567648,571596,571776,","","uc060qou.4"
"ENST00000588290.4","chr19","-","566881","572404","566881","566881","3","566881,571439,572108,","567624,571596,572404,","","uc060qow.3"
"ENST00000589457.5","chr19","-","567209","571763","567209","567209","2","567209,571439,","567624,571763,","","uc060qot.5"
"ENST00000722505.1","chr19","-","567423","572343","567423","567423","3","567423,571439,572108,","567648,571596,572343,","","uc339kje.1"
"ENST00000722506.1","chr19","-","567431","571752","567431","567431","2","567431,571439,","567648,571752,","","uc339kjf.1"
"ENST00000545507.6","chr19","+","571276","583493","580433","582577","8","571276,579499,580378,580645,581314,582305,582513,582749,","571579,579656,580461,580782,581591,582330,582582,583493,","P35613","uc021ulx.4"
"ENST00000346916.9","chr19","+","571309","583493","580433","582577","7","571309,580378,580645,581314,582305,582513,582749,","571579,580461,580782,581591,582330,582582,583493,","P35613","uc002loy.6"
"ENST00000679472.1","chr19","+","572528","583442","580433","582838","8","572528,579499,580378,580645,581314,582305,582517,582749,","572701,579656,580461,580782,581591,582330,582582,583442,","A0A7P0T8A7","uc288zkn.1"
"ENST00000680552.1","chr19","+","572528","583442","572634","582577","8","572528,579499,580378,580645,581314,582305,582522,582749,","572701,579656,580461,580782,581591,582330,582582,583442,","A0A7P0TB04","uc289azx.1"
"ENST00000680065.1","chr19","+","572528","583462","580433","582577","8","572528,579499,580378,580645,581314,582305,582513,582749,","572701,579656,580461,580782,581591,582330,582578,583462,","P35613","uc289ahg.1"
"ENST00000613627.5","chr19","+","572570","581542","572634","580660","4","572570,580378,580645,581314,","572701,580461,580782,581542,","A0A087X2B5","uc060qpc.2"
"ENST00000573216.5","chr19","+","572571","581376","572634","581376","5","572571,579523,580378,580645,581314,","572701,579656,580461,580782,581376,","I3L192","uc060qoy.1"
"ENST00000576925.4","chr19","+","572571","583463","572571","572571","7","572571,579499,580645,581314,582305,582513,582749,","572701,580461,580782,581591,582330,582582,583463,","","uc060qox.3"
"ENST00000572899.6","chr19","+","572593","581591","572593","572593","4","572593,579499,580378,581314,","572701,579656,580782,581591,","","uc060qpa.3"
"ENST00000590218.4","chr19","+","572595","578212","572595","572595","2","572595,577773,","572701,578212,","","uc060qoz.1"
"ENST00000333511.9","chr19","+","572595","583493","572634","582577","9","572595,577773,579499,580378,580645,581314,582305,582513,582749,","572701,578121,579656,580461,580782,581591,582330,582582,583493,","P35613","uc002loz.8"
"ENST00000353555.9","chr19","+","572595","583493","572634","582577","8","572595,579499,580378,580645,581314,582305,582513,582749,","572701,579656,580461,580782,581591,582330,582582,583493,","Q54A51","uc002lpa.6"
"ENST00000680326.1","chr19","+","572609","583493","572634","582577","8","572609,579508,580378,580645,581314,582305,582513,582749,","572701,579656,580461,580782,581591,582330,582582,583493,","A0A7P0TA85","uc289arh.1"
"ENST00000618006.4","chr19","+","572618","583487","572634","582577","6","572618,580645,581314,582305,582513,582749,","572701,580782,581591,582330,582582,583487,","A0A087WUV8","uc060qpd.1"
"ENST00000614867.2","chr19","+","572622","583487","572634","582540","4","572622,579499,582519,582749,","572701,579579,582582,583487,","A0A087X215","uc060qpe.2"
"ENST00000618112.4","chr19","+","572634","583463","572634","580660","8","572634,579499,580378,580655,581314,582305,582513,582749,","572701,579656,580461,580782,581591,582330,582582,583463,","A0A2R8YDZ0","uc285pgt.2"
"ENST00000573784.6","chr19","+","575046","583494","580433","582577","8","575046,579499,580378,580645,581314,582305,582513,582749,","575140,579656,580461,580782,581591,582330,582582,583494,","R4GMX5","uc060qpf.2"
"ENST00000574970.2","chr19","+","575048","579629","575048","575048","3","575048,577773,579499,","575140,578121,579629,","","uc060qpg.2"
"ENST00000576984.3","chr19","+","575212","583493","580433","582577","8","575212,579499,580378,580645,581314,582305,582513,582749,","575386,579656,580461,580782,581591,582330,582582,583493,","R4GN83","uc060qph.2"
"ENST00000571735.3","chr19","+","578849","583492","578849","578849","7","578849,580378,580645,581314,582305,582513,582749,","579656,580461,580782,581591,582330,582582,583492,","","uc060qpi.3"
"ENST00000680551.1","chr19","+","580646","582585","580646","580646","3","580646,581314,582305,","580782,581591,582585,","","uc289azw.1"
"ENST00000251287.3","chr19","+","589880","617159","589945","616474","8","589880,603543,605060,607963,610258,613247,613851,615794,","590577,603967,605222,608182,610405,613488,614016,617159,","Q9UL51","uc002lpe.4"
"ENST00000589661.2","chr19","-","590429","591300","590429","590429","1","590429,","591300,","","uc286oya.1"
"ENST00000818911.1","chr19","-","609939","610898","609939","609939","2","609939,610646,","610508,610898,","","uc344vxa.1"
"ENST00000588649.7","chr19","-","617220","633537","617273","633512","21","617220,617418,617569,617776,618487,618704,618996,619209,619585,619957,620364,621057,622148,622581,622820,623453,624718,625123,629539,632833,633424,","617323,617480,617655,617849,618586,618760,619110,619296,619765,620080,620487,621846,622373,622752,622985,623603,624905,625254,630168,632938,633537,","O00411","uc002lpf.4"
"ENST00000592633.5","chr19","-","617223","617997","617223","617223","4","617223,617418,617569,617776,","617323,617480,617655,617997,","","uc060qpk.2"
"ENST00000587057.5","chr19","-","617227","618758","617227","617227","4","617227,617418,617569,618704,","617323,617480,618586,618758,","","uc060qpl.2"
"ENST00000590336.2","chr19","-","617430","619016","617430","619016","6","617430,617569,617776,618487,618704,618996,","617480,617655,617849,618582,618760,619016,","K7ESD1","uc060qpm.1"
"ENST00000589961.2","chr19","-","617645","619226","617645","617645","5","617645,618487,618704,618996,619209,","617849,618586,618760,619110,619226,","","uc060qpn.1"
"ENST00000590709.3","chr19","-","622534","625509","622534","622534","5","622534,622820,623453,624718,625123,","622752,622985,623603,624905,625509,","","uc060qpo.1"
"ENST00000590573.4","chr19","-","623466","630169","623466","630169","4","623466,624718,625123,629539,","623603,624905,625212,630169,","K7EMH3","uc284pme.1"
