#"bin","chrom","chromStart","chromEnd","name","length","cpgNum","gcNum","perCpg","perGc","obsExp"
"590","chr19","719098","720953","CpG: 186","1855","186","1367","20.1","73.7","0.74"
"590","chr19","727956","728177","CpG: 20","221","20","157","18.1","71","0.73"
"590","chr19","736135","736426","CpG: 29","291","29","210","19.9","72.2","0.77"
"590","chr19","740196","740609","CpG: 31","413","31","281","15","68","0.65"
"590","chr19","746300","747161","CpG: 64","861","64","539","14.9","62.6","0.76"
"590","chr19","757817","758492","CpG: 47","675","47","446","13.9","66.1","0.64"
"591","chr19","795360","795561","CpG: 17","201","17","136","16.9","67.7","0.74"
"591","chr19","796506","798936","CpG: 247","2430","247","1631","20.3","67.1","0.9"
"591","chr19","804218","806663","CpG: 201","2445","201","1626","16.4","66.5","0.74"
"591","chr19","807131","807445","CpG: 25","314","25","208","15.9","66.2","0.73"
"591","chr19","808004","808834","CpG: 65","830","65","539","15.7","64.9","0.74"
"591","chr19","811904","815288","CpG: 296","3384","296","2213","17.5","65.4","0.82"
"591","chr19","821345","822463","CpG: 134","1118","134","798","24","71.4","0.94"
"591","chr19","835272","835524","CpG: 28","252","28","191","22.2","75.8","0.8"
"591","chr19","836533","836899","CpG: 27","366","27","255","14.8","69.7","0.62"
"591","chr19","843468","844593","CpG: 104","1125","104","801","18.5","71.2","0.77"
"591","chr19","846011","846435","CpG: 30","424","30","272","14.2","64.2","0.7"
"591","chr19","847898","848129","CpG: 22","231","22","165","19","71.4","0.77"
"591","chr19","852855","853495","CpG: 73","640","73","411","22.8","64.2","1.11"
"591","chr19","855526","856146","CpG: 48","620","48","420","15.5","67.7","0.68"
"591","chr19","860517","862123","CpG: 145","1606","145","1116","18.1","69.5","0.76"
"591","chr19","862930","863227","CpG: 35","297","35","207","23.6","69.7","1.01"
"591","chr19","866536","867056","CpG: 55","520","55","392","21.2","75.4","0.95"
"591","chr19","867904","868301","CpG: 34","397","34","273","17.1","68.8","0.74"
"591","chr19","870774","871318","CpG: 40","544","40","383","14.7","70.4","0.63"
"591","chr19","875214","875420","CpG: 20","206","20","134","19.4","65","0.98"
"591","chr19","885746","886200","CpG: 50","454","50","306","22","67.4","0.97"
"591","chr19","891531","892150","CpG: 45","619","45","427","14.5","69","0.69"
"591","chr19","892970","893270","CpG: 39","300","39","223","26","74.3","0.96"
"591","chr19","897374","897624","CpG: 19","250","19","168","15.2","67.2","0.68"
"591","chr19","899490","899720","CpG: 19","230","19","160","16.5","69.6","0.69"
"591","chr19","900808","901132","CpG: 24","324","24","221","14.8","68.2","0.64"
"591","chr19","911689","913715","CpG: 157","2026","157","1347","15.5","66.5","0.76"
"73","chr19","917034","920787","CpG: 302","3753","302","2439","16.1","65","0.76"
"592","chr19","924788","925001","CpG: 17","213","17","158","16","74.2","0.62"
"592","chr19","925120","926870","CpG: 171","1750","171","1115","19.5","63.7","0.96"
"592","chr19","929357","929839","CpG: 45","482","45","358","18.7","74.3","0.68"
"592","chr19","932598","932845","CpG: 24","247","24","182","19.4","73.7","0.72"
"592","chr19","939595","939816","CpG: 19","221","19","128","17.2","57.9","1.03"
"592","chr19","941116","941528","CpG: 36","412","36","281","17.5","68.2","0.75"
"592","chr19","941824","942490","CpG: 52","666","52","451","15.6","67.7","0.68"
"592","chr19","947547","947981","CpG: 33","434","33","276","15.2","63.6","0.76"
"592","chr19","950020","950370","CpG: 25","350","25","224","14.3","64","0.74"
"592","chr19","982689","983080","CpG: 43","391","43","302","22","77.2","0.76"
"592","chr19","984165","984866","CpG: 78","701","78","489","22.3","69.8","0.94"
"592","chr19","990183","990413","CpG: 19","230","19","168","16.5","73","0.66"
"592","chr19","993855","994512","CpG: 51","657","51","455","15.5","69.3","0.65"
"592","chr19","996075","996680","CpG: 56","605","56","418","18.5","69.1","0.78"
"592","chr19","1000199","1000995","CpG: 92","796","92","525","23.1","66","1.06"
"592","chr19","1003193","1003722","CpG: 51","529","51","397","19.3","75","0.68"
"592","chr19","1004325","1005606","CpG: 99","1281","99","867","15.5","67.7","0.68"
"592","chr19","1007552","1011984","CpG: 326","4432","326","2921","14.7","65.9","0.68"
"592","chr19","1014274","1014579","CpG: 30","305","30","211","19.7","69.2","0.83"
"592","chr19","1020512","1021396","CpG: 72","884","72","463","16.3","52.4","1.2"
"592","chr19","1026312","1026909","CpG: 52","597","52","374","17.4","62.6","0.89"
"592","chr19","1028320","1028642","CpG: 27","322","27","217","16.8","67.4","0.74"
"592","chr19","1033606","1035237","CpG: 136","1631","136","1085","16.7","66.5","1.06"
"592","chr19","1039765","1040255","CpG: 43","490","43","335","17.6","68.4","0.76"
"592","chr19","1046250","1047702","CpG: 118","1452","118","1012","16.3","69.7","0.67"
"593","chr19","1050977","1051235","CpG: 19","258","19","171","14.7","66.3","0.67"
"593","chr19","1063545","1064266","CpG: 52","721","52","495","14.4","68.7","0.63"
"593","chr19","1064898","1065192","CpG: 36","294","36","213","24.5","72.4","0.94"
"593","chr19","1066867","1067674","CpG: 81","807","81","563","20.1","69.8","0.83"
"593","chr19","1068439","1068765","CpG: 32","326","32","233","19.6","71.5","0.77"
"593","chr19","1070986","1071813","CpG: 100","827","100","619","24.2","74.8","0.86"
"593","chr19","1074727","1075072","CpG: 29","345","29","216","16.8","62.6","0.86"
"593","chr19","1079683","1083431","CpG: 259","3748","259","2511","13.8","67","0.63"
"593","chr19","1093224","1093453","CpG: 16","229","16","144","14","62.9","0.71"
"593","chr19","1094798","1095650","CpG: 88","852","88","553","20.7","64.9","1.02"
"593","chr19","1103723","1109611","CpG: 446","5888","446","3986","15.1","67.7","0.66"
"593","chr19","1110400","1110695","CpG: 26","295","26","207","17.6","70.2","0.78"
"593","chr19","1112201","1112996","CpG: 72","795","72","535","18.1","67.3","0.8"
"593","chr19","1117271","1117573","CpG: 27","302","27","213","17.9","70.5","0.74"
"593","chr19","1118908","1120216","CpG: 93","1308","93","886","14.2","67.7","0.63"
"593","chr19","1122476","1123288","CpG: 59","812","59","525","14.5","64.7","0.73"
"593","chr19","1140838","1141120","CpG: 24","282","24","180","17","63.8","0.85"
"593","chr19","1152016","1152250","CpG: 20","234","20","155","17.1","66.2","0.78"
"593","chr19","1154024","1154487","CpG: 48","463","48","344","20.7","74.3","0.77"
"593","chr19","1155021","1155306","CpG: 22","285","22","200","15.4","70.2","0.63"
"593","chr19","1157316","1159011","CpG: 125","1695","125","1137","14.7","67.1","0.66"
"593","chr19","1163467","1163877","CpG: 32","410","32","291","15.6","71","0.62"
"593","chr19","1168577","1169140","CpG: 40","563","40","374","14.2","66.4","0.65"
"593","chr19","1173241","1174344","CpG: 101","1103","101","725","18.3","65.7","0.86"
"594","chr19","1194462","1194864","CpG: 47","402","47","286","23.4","71.1","0.92"
"594","chr19","1205369","1207423","CpG: 231","2054","231","1438","22.5","70","0.92"
"594","chr19","1220486","1220817","CpG: 29","331","29","242","17.5","73.1","0.66"
"594","chr19","1226491","1230257","CpG: 379","3766","379","2523","20.1","67","0.9"
"594","chr19","1230975","1231324","CpG: 27","349","27","247","15.5","70.8","0.62"
"594","chr19","1234939","1235290","CpG: 38","351","38","263","21.7","74.9","0.78"
"594","chr19","1236394","1238312","CpG: 206","1918","206","1400","21.5","73","0.81"
"594","chr19","1240155","1240547","CpG: 61","392","61","308","31.1","78.6","1.01"
"594","chr19","1241620","1242570","CpG: 109","950","109","682","22.9","71.8","0.92"
"594","chr19","1248184","1251180","CpG: 368","2996","368","2127","24.6","71","0.98"
"594","chr19","1253927","1254455","CpG: 50","528","50","379","18.9","71.8","0.74"
"594","chr19","1255217","1255595","CpG: 35","378","35","272","18.5","72","0.75"
"594","chr19","1256999","1257349","CpG: 31","350","31","205","17.7","58.6","1.03"
"594","chr19","1260265","1261335","CpG: 95","1070","95","746","17.8","69.7","0.73"
"594","chr19","1265855","1269944","CpG: 336","4089","336","2711","16.4","66.3","0.76"
"594","chr19","1274470","1276359","CpG: 204","1889","204","1288","21.6","68.2","0.93"
"594","chr19","1285397","1286575","CpG: 149","1178","149","777","25.3","66","1.16"
"594","chr19","1287417","1287886","CpG: 38","469","38","323","16.2","68.9","0.68"
"594","chr19","1290410","1290638","CpG: 18","228","18","154","15.8","67.5","0.71"
"594","chr19","1295233","1296070","CpG: 86","837","86","622","20.5","74.3","0.74"
"594","chr19","1299755","1300240","CpG: 44","485","44","353","18.1","72.8","0.69"
"594","chr19","1302531","1302812","CpG: 30","281","30","199","21.4","70.8","0.85"
"594","chr19","1304767","1305063","CpG: 22","296","22","207","14.9","69.9","0.61"
"594","chr19","1307429","1307685","CpG: 32","256","32","179","25","69.9","1.03"
"595","chr19","1312788","1313529","CpG: 50","741","50","459","13.5","61.9","0.7"
"595","chr19","1315776","1316093","CpG: 43","317","43","248","27.1","78.2","0.9"
"595","chr19","1324970","1325361","CpG: 39","391","39","246","19.9","62.9","1.01"
"595","chr19","1325866","1326216","CpG: 26","350","26","243","14.9","69.4","0.62"
"595","chr19","1354421","1355351","CpG: 107","930","107","667","23","71.7","0.9"
"595","chr19","1360039","1360348","CpG: 23","309","23","180","14.9","58.3","0.88"
"595","chr19","1368815","1369027","CpG: 17","212","17","145","16","68.4","0.73"
"595","chr19","1371027","1371283","CpG: 28","256","28","173","21.9","67.6","0.96"
"595","chr19","1376555","1377569","CpG: 65","1014","65","605","12.8","59.7","0.72"
"595","chr19","1377845","1378267","CpG: 36","422","36","282","17.1","66.8","0.77"
"595","chr19","1383438","1384252","CpG: 90","814","90","515","22.1","63.3","1.11"
"595","chr19","1387528","1387847","CpG: 22","319","22","207","13.8","64.9","0.66"
"595","chr19","1390694","1391305","CpG: 55","611","55","413","18","67.6","0.79"
"595","chr19","1393156","1393471","CpG: 26","315","26","222","16.5","70.5","0.67"
"595","chr19","1399166","1399389","CpG: 17","223","17","154","15.2","69.1","0.64"
"595","chr19","1401093","1401785","CpG: 90","692","90","537","26","77.6","0.86"
"595","chr19","1407110","1408844","CpG: 194","1734","194","1153","22.4","66.5","1.01"
"595","chr19","1419752","1420406","CpG: 75","654","75","418","22.9","63.9","1.32"
"595","chr19","1423753","1424007","CpG: 21","254","21","166","16.5","65.4","0.78"
"595","chr19","1424613","1424975","CpG: 30","362","30","254","16.6","70.2","0.68"
"595","chr19","1428804","1429304","CpG: 38","500","38","339","15.2","67.8","0.66"
"595","chr19","1434614","1434937","CpG: 31","323","31","229","19.2","70.9","0.77"
"595","chr19","1438288","1438870","CpG: 79","582","79","409","27.1","70.3","1.11"
"595","chr19","1439952","1440424","CpG: 37","472","37","312","15.7","66.1","0.72"
"596","chr19","1444919","1447215","CpG: 215","2296","215","1463","18.7","63.7","0.94"
"596","chr19","1449940","1450388","CpG: 61","448","61","351","27.2","78.3","0.9"
"596","chr19","1455227","1457313","CpG: 147","2086","147","1446","14.1","69.3","0.61"
"596","chr19","1465207","1471242","CpG: 621","6035","621","4345","20.6","72","0.8"
"596","chr19","1472936","1473211","CpG: 23","275","23","167","16.7","60.7","0.92"
"596","chr19","1478604","1479622","CpG: 94","1018","94","696","18.5","68.4","0.79"
"596","chr19","1481850","1482491","CpG: 52","641","52","460","16.2","71.8","0.63"
"596","chr19","1483102","1484120","CpG: 85","1018","85","647","16.7","63.6","0.83"
"596","chr19","1486839","1487382","CpG: 48","543","48","368","17.7","67.8","0.77"
"596","chr19","1490389","1491807","CpG: 132","1418","132","937","18.6","66.1","0.86"
"596","chr19","1495210","1495414","CpG: 18","204","18","132","17.6","64.7","0.85"
"596","chr19","1496347","1496682","CpG: 29","335","29","224","17.3","66.9","0.79"
"596","chr19","1503038","1503371","CpG: 23","333","23","204","13.8","61.3","0.74"
"596","chr19","1503512","1503792","CpG: 24","280","24","203","17.1","72.5","0.65"
"596","chr19","1506027","1506269","CpG: 24","242","24","170","19.8","70.2","0.82"
"596","chr19","1507918","1508144","CpG: 26","226","26","149","23","65.9","1.06"
"596","chr19","1508410","1508611","CpG: 18","201","18","146","17.9","72.6","0.69"
"596","chr19","1510494","1510726","CpG: 22","232","22","177","19","76.3","0.65"
"596","chr19","1512962","1514035","CpG: 121","1073","121","799","22.6","74.5","0.81"
"596","chr19","1523706","1524566","CpG: 128","860","128","660","29.8","76.7","1.01"
"596","chr19","1525207","1525855","CpG: 48","648","48","437","14.8","67.4","0.66"
"596","chr19","1526463","1526682","CpG: 19","219","19","153","17.4","69.9","0.72"
"596","chr19","1546220","1546456","CpG: 23","236","23","156","19.5","66.1","0.95"
"596","chr19","1555011","1556867","CpG: 210","1856","210","1295","22.6","69.8","0.93"
"596","chr19","1566678","1568835","CpG: 241","2157","241","1499","22.3","69.5","0.93"
"597","chr19","1577468","1578510","CpG: 70","1042","70","677","13.4","65","0.64"
"597","chr19","1580400","1580631","CpG: 16","231","16","146","13.9","63.2","0.71"
"597","chr19","1584446","1585248","CpG: 85","802","85","520","21.2","64.8","1.01"
"597","chr19","1591428","1591629","CpG: 15","201","15","137","14.9","68.2","0.65"
"597","chr19","1591999","1593096","CpG: 128","1097","128","761","23.3","69.4","1.01"
"597","chr19","1604919","1605682","CpG: 71","763","71","434","18.6","56.9","1.15"
"597","chr19","1614309","1614600","CpG: 24","291","24","205","16.5","70.4","0.72"
"597","chr19","1615203","1615593","CpG: 31","390","31","264","15.9","67.7","0.71"
"597","chr19","1619171","1619448","CpG: 25","277","25","203","18.1","73.3","0.67"
"597","chr19","1621667","1621902","CpG: 20","235","20","167","17","71.1","0.68"
"597","chr19","1625318","1625613","CpG: 26","295","26","212","17.6","71.9","0.73"
"597","chr19","1626496","1626759","CpG: 23","263","23","184","17.5","70","0.71"
"597","chr19","1630863","1631065","CpG: 15","202","15","142","14.9","70.3","0.6"
"597","chr19","1646118","1646714","CpG: 40","596","40","397","13.4","66.6","0.61"
"597","chr19","1651622","1653332","CpG: 223","1710","223","1216","26.1","71.1","1.04"
"597","chr19","1672090","1672575","CpG: 47","485","47","355","19.4","73.2","0.72"
"597","chr19","1675842","1676138","CpG: 38","296","38","217","25.7","73.3","0.96"
"597","chr19","1698699","1699254","CpG: 43","555","43","343","15.5","61.8","0.81"
"598","chr19","1718803","1719155","CpG: 35","352","35","252","19.9","71.6","0.78"
"598","chr19","1725416","1726155","CpG: 89","739","89","546","24.1","73.9","0.88"
"598","chr19","1734222","1734628","CpG: 30","406","30","252","14.8","62.1","0.78"
"598","chr19","1748168","1750090","CpG: 193","1922","193","1313","20.1","68.3","0.86"
"598","chr19","1753217","1758078","CpG: 416","4861","416","3024","17.1","62.2","0.89"
"598","chr19","1761984","1762849","CpG: 59","865","59","519","13.6","60","0.76"
"598","chr19","1766145","1766365","CpG: 24","220","24","162","21.8","73.6","0.83"
"598","chr19","1775068","1776731","CpG: 113","1663","113","1034","13.6","62.2","0.71"
"598","chr19","1788990","1789881","CpG: 73","891","73","642","16.4","72.1","0.66"
"598","chr19","1795923","1796904","CpG: 71","981","71","658","14.5","67.1","0.64"
"598","chr19","1799935","1800249","CpG: 26","314","26","200","16.6","63.7","0.82"
"598","chr19","1811955","1812760","CpG: 67","805","67","512","16.6","63.6","0.85"
"598","chr19","1816027","1816785","CpG: 58","758","58","511","15.3","67.4","0.69"
"598","chr19","1818466","1818782","CpG: 23","316","23","214","14.6","67.7","0.63"
"598","chr19","1822340","1822639","CpG: 21","299","21","204","14","68.2","0.61"
"598","chr19","1826830","1828547","CpG: 119","1717","119","1090","13.9","63.5","0.69"
"599","chr19","1847690","1847894","CpG: 20","204","20","133","19.6","65.2","0.93"
"599","chr19","1848059","1848777","CpG: 79","718","79","517","22","72","0.85"
"599","chr19","1851579","1852204","CpG: 55","625","55","425","17.6","68","0.77"
"599","chr19","1854575","1854864","CpG: 27","289","27","196","18.7","67.8","0.86"
"599","chr19","1856726","1857444","CpG: 66","718","66","528","18.4","73.5","0.68"
"599","chr19","1860090","1860311","CpG: 17","221","17","156","15.4","70.6","0.62"
"599","chr19","1861712","1861915","CpG: 15","203","15","137","14.8","67.5","0.8"
"599","chr19","1862257","1864943","CpG: 337","2686","337","1972","25.1","73.4","0.93"
"599","chr19","1872632","1872849","CpG: 20","217","20","147","18.4","67.7","0.82"
"599","chr19","1875633","1877922","CpG: 206","2289","206","1520","18","66.4","0.82"
"599","chr19","1884769","1885609","CpG: 80","840","80","542","19","64.5","0.92"
"599","chr19","1905107","1905836","CpG: 62","729","62","432","17","59.3","0.97"
"599","chr19","1908119","1908510","CpG: 34","391","34","269","17.4","68.8","0.74"
"599","chr19","1911924","1913407","CpG: 152","1483","152","1054","20.5","71.1","0.82"
"599","chr19","1918076","1918306","CpG: 19","230","19","154","16.5","67","0.75"
"599","chr19","1918818","1919102","CpG: 20","284","20","174","14.1","61.3","0.76"
"599","chr19","1920893","1921201","CpG: 21","308","21","195","13.6","63.3","0.68"
"599","chr19","1924513","1924776","CpG: 23","263","23","179","17.5","68.1","0.76"
"599","chr19","1940304","1941941","CpG: 179","1637","179","1082","21.9","66.1","1.02"
"599","chr19","1947722","1948043","CpG: 26","321","26","225","16.2","70.1","0.66"
"599","chr19","1953779","1954024","CpG: 20","245","20","158","16.3","64.5","0.79"
"599","chr19","1957775","1958039","CpG: 24","264","24","183","18.2","69.3","0.82"
"599","chr19","1961002","1961326","CpG: 26","324","26","225","16","69.4","0.69"
"600","chr19","1969439","1970137","CpG: 53","698","53","468","15.2","67","0.68"
"600","chr19","1975220","1975571","CpG: 26","351","26","229","14.8","65.2","0.7"
"600","chr19","1978371","1979985","CpG: 138","1614","138","1035","17.1","64.1","0.83"
"600","chr19","1980825","1981089","CpG: 27","264","27","193","20.5","73.1","0.77"
"600","chr19","1985881","1986199","CpG: 28","318","28","212","17.6","66.7","0.8"
"600","chr19","1987373","1987688","CpG: 22","315","22","214","14","67.9","0.64"
"600","chr19","1990658","1990898","CpG: 20","240","20","162","16.7","67.5","0.73"
"600","chr19","1993022","1993274","CpG: 24","252","24","161","19","63.9","0.93"
"600","chr19","1998801","1999333","CpG: 42","532","42","357","15.8","67.1","0.73"
"600","chr19","2015496","2015724","CpG: 34","228","34","160","29.8","70.2","1.21"
"600","chr19","2038293","2038692","CpG: 31","399","31","274","15.5","68.7","0.68"
"600","chr19","2041824","2042594","CpG: 76","770","76","524","19.7","68.1","0.85"
"600","chr19","2046075","2046305","CpG: 20","230","20","157","17.4","68.3","0.75"
"600","chr19","2050631","2051567","CpG: 113","936","113","632","24.1","67.5","1.06"
"600","chr19","2061111","2062055","CpG: 92","944","92","670","19.5","71","0.78"
"600","chr19","2064854","2065266","CpG: 29","412","29","273","14.1","66.3","0.65"
"600","chr19","2076484","2076983","CpG: 43","499","43","327","17.2","65.5","0.8"
"600","chr19","2078163","2078512","CpG: 31","349","31","224","17.8","64.2","0.86"
"600","chr19","2095396","2095728","CpG: 30","332","30","232","18.1","69.9","0.74"
"9","chr19","2096044","2097492","CpG: 141","1448","141","1008","19.5","69.6","0.8"
"601","chr19","2115421","2115784","CpG: 30","363","30","248","16.5","68.3","0.71"
"601","chr19","2116572","2116809","CpG: 22","237","22","165","18.6","69.6","0.77"
"601","chr19","2120874","2121168","CpG: 25","294","25","199","17","67.7","0.74"
"601","chr19","2128392","2129073","CpG: 88","681","88","547","25.8","80.3","0.9"
"601","chr19","2131293","2131882","CpG: 61","589","61","413","20.7","70.1","0.84"
"601","chr19","2135932","2136165","CpG: 20","233","20","167","17.2","71.7","0.74"
"601","chr19","2136823","2137091","CpG: 20","268","20","176","14.9","65.7","0.69"
"601","chr19","2150991","2151964","CpG: 96","973","96","686","19.7","70.5","0.79"
"601","chr19","2163633","2165604","CpG: 176","1971","176","1183","17.9","60","0.99"
"601","chr19","2190990","2191263","CpG: 22","273","22","172","16.1","63","0.82"
"601","chr19","2196913","2197163","CpG: 20","250","20","154","16","61.6","0.86"
"601","chr19","2199922","2200127","CpG: 18","205","18","145","17.6","70.7","0.72"
"601","chr19","2200689","2201355","CpG: 54","666","54","418","16.2","62.8","1.63"
"601","chr19","2213861","2214143","CpG: 23","282","23","185","16.3","65.6","0.77"
"601","chr19","2216347","2216742","CpG: 29","395","29","271","14.7","68.6","0.63"
"601","chr19","2217743","2218097","CpG: 26","354","26","232","14.7","65.5","0.69"
"75","chr19","2226194","2228343","CpG: 169","2149","169","1350","15.7","62.8","0.8"
"602","chr19","2229738","2230595","CpG: 71","857","71","518","16.6","60.4","0.91"
"602","chr19","2235682","2237103","CpG: 157","1421","157","1017","22.1","71.6","0.86"
"602","chr19","2246821","2247036","CpG: 20","215","20","142","18.6","66","0.85"
"602","chr19","2250561","2253960","CpG: 338","3399","338","2403","19.9","70.7","0.8"
"602","chr19","2269116","2271365","CpG: 227","2249","227","1520","20.2","67.6","0.9"
"602","chr19","2272702","2273247","CpG: 42","545","42","346","15.4","63.5","0.77"
"602","chr19","2273694","2274048","CpG: 35","354","35","243","19.8","68.6","0.84"
"602","chr19","2275712","2276373","CpG: 71","661","71","493","21.5","74.6","0.77"
"602","chr19","2278606","2278849","CpG: 24","243","24","176","19.8","72.4","0.77"
"602","chr19","2289896","2291905","CpG: 237","2009","237","1448","23.6","72.1","0.91"
"602","chr19","2294887","2295102","CpG: 17","215","17","138","15.8","64.2","0.82"
"602","chr19","2302467","2303000","CpG: 46","533","46","381","17.3","71.5","0.68"
"602","chr19","2307567","2308445","CpG: 85","878","85","602","19.4","68.6","0.83"
"602","chr19","2321582","2321991","CpG: 30","409","30","286","14.7","69.9","0.6"
"602","chr19","2323913","2324128","CpG: 16","215","16","146","14.9","67.9","0.7"
"602","chr19","2328365","2329090","CpG: 83","725","83","481","22.9","66.3","1.06"
"602","chr19","2334496","2334772","CpG: 22","276","22","191","15.9","69.2","0.67"
"602","chr19","2339008","2340238","CpG: 94","1230","94","838","15.3","68.1","0.66"
"602","chr19","2347137","2350409","CpG: 229","3272","229","1715","14","52.4","1.57"
"602","chr19","2351520","2352029","CpG: 40","509","40","347","15.7","68.2","0.7"
